
Gurobi 9.5.0 (linux64) logging started Fri Apr 15 12:12:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R5_M60_N150_seed1_DWcutsT5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 9520 rows, 9300 columns and 278084 nonzeros
Model fingerprint: 0x11c3a024
Variable types: 0 continuous, 9300 integer (9300 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-14, 2e+02]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2832 rows and 3600 columns
Presolve time: 0.93s
Presolved: 6688 rows, 5700 columns, 152763 nonzeros
Found heuristic solution: objective -21722.00000
Variable types: 0 continuous, 5700 integer (5700 binary)

Root relaxation: objective -6.305549e+04, 9638 iterations, 1.68 seconds (2.53 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  8680  6801 -62985.981  102  220 -62840.000 -63034.432  0.31%   216  262s
H 8856  4624                    -62939.00000 -63034.432  0.15%   215  262s
  9341  4722     cutoff  230      -62939.000 -63033.959  0.15%   212  270s
  9870  5097 -63012.112   31  301 -62939.000 -63033.741  0.15%   215  278s
 10325  5098 -63006.087   81  307 -62939.000 -63033.650  0.15%   216  283s
 10327  5099 -63027.671   40  306 -62939.000 -63033.650  0.15%   216  285s
 10334  5104 -62997.810  108  284 -62939.000 -63033.650  0.15%   216  290s
 10342  5109 -62963.235  127  303 -62939.000 -63033.650  0.15%   216  304s
 10343  5113 -63033.650   30  344 -62939.000 -63033.650  0.15%   217  314s
 10345  5116 -63033.650   31  306 -62939.000 -63033.650  0.15%   217  323s
 10349  5119 -63033.650   32  288 -62939.000 -63033.650  0.15%   218  329s
 10353  5121 -63021.032   32  392 -62939.000 -63033.650  0.15%   218  334s
 10357  5122 -63033.650   33  322 -62939.000 -63033.650  0.15%   218  336s
 10365  5129 -63033.650   34  321 -62939.000 -63033.650  0.15%   219  340s
 10384  5143 -63033.650   37  302 -62939.000 -63033.650  0.15%   219  345s
 10417  5161 -63033.225   40  276 -62939.000 -63033.650  0.15%   220  351s
 10446  5194 -63030.709   43  328 -62939.000 -63033.650  0.15%   221  357s
 10474  5209 -63021.749   48  328 -62939.000 -63033.650  0.15%   222  360s
 10548  5279 -63029.530   59  262 -62939.000 -63033.650  0.15%   224  368s
 10601  5289 -63029.149   66  262 -62939.000 -63033.650  0.15%   225  373s
 10630  5368 -63025.023   67  289 -62939.000 -63033.650  0.15%   226  377s
