
Gurobi 9.5.0 (linux64) logging started Wed May  4 08:03:40 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed4_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x8895cf55
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [4e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 75 rows and 698 columns
Presolve time: 0.03s
Presolved: 905 rows, 6052 columns, 12104 nonzeros
Variable types: 0 continuous, 6052 integer (6052 binary)
Found heuristic solution: objective -39034.00000

Root relaxation: objective -8.109642e+04, 3128 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -80739.876    0  482 -76761.000 -80739.876  5.18%     -    5s
     0     0 -80739.301    0  499 -76761.000 -80739.301  5.18%     -    5s
     0     0 -80702.660    0  505 -76761.000 -80702.660  5.13%     -    5s
     0     0 -80696.769    0  522 -76761.000 -80696.769  5.13%     -    5s
     0     0 -80695.968    0  520 -76761.000 -80695.968  5.13%     -    5s
     0     0 -80655.472    0  502 -76761.000 -80655.472  5.07%     -    5s
     0     0 -80645.968    0  516 -76761.000 -80645.968  5.06%     -    5s
     0     0 -80644.881    0  523 -76761.000 -80644.881  5.06%     -    5s
H    0     0                    -77069.00000 -80610.921  4.60%     -    6s
H    0     0                    -77789.00000 -80610.921  3.63%     -    6s
     0     0 -80610.921    0  498 -77789.000 -80610.921  3.63%     -    6s
     0     0 -80601.496    0  535 -77789.000 -80601.496  3.62%     -    6s
     0     0 -80599.395    0  492 -77789.000 -80599.395  3.61%     -    6s
     0     0 -80599.017    0  502 -77789.000 -80599.017  3.61%     -    6s
     0     0 -80555.091    0  574 -77789.000 -80555.091  3.56%     -    6s
     0     0 -80543.179    0  541 -77789.000 -80543.179  3.54%     -    6s
     0     0 -80541.264    0  550 -77789.000 -80541.264  3.54%     -    6s
     0     0 -80540.350    0  540 -77789.000 -80540.350  3.54%     -    6s
     0     0 -80468.220    0  500 -77789.000 -80468.220  3.44%     -    7s
     0     0 -80452.178    0  529 -77789.000 -80452.178  3.42%     -    7s
     0     0 -80445.869    0  515 -77789.000 -80445.869  3.42%     -    7s
     0     0 -80443.149    0  500 -77789.000 -80443.149  3.41%     -    7s
     0     0 -80442.483    0  494 -77789.000 -80442.483  3.41%     -    7s
     0     0 -80395.092    0  498 -77789.000 -80395.092  3.35%     -    7s
     0     0 -80387.832    0  479 -77789.000 -80387.832  3.34%     -    7s
     0     0 -80383.443    0  512 -77789.000 -80383.443  3.34%     -    7s
     0     0 -80382.789    0  495 -77789.000 -80382.789  3.33%     -    7s
     0     0 -80341.761    0  463 -77789.000 -80341.761  3.28%     -    7s
     0     0 -80331.616    0  417 -77789.000 -80331.616  3.27%     -    8s
     0     0 -80330.247    0  399 -77789.000 -80330.247  3.27%     -    8s
     0     0 -80300.563    0  458 -77789.000 -80300.563  3.23%     -    8s
     0     0 -80288.104    0  499 -77789.000 -80288.104  3.21%     -    8s
H    0     0                    -77916.00000 -80285.393  3.04%     -    8s
     0     0 -80285.393    0  463 -77916.000 -80285.393  3.04%     -    8s
     0     0 -80283.229    0  517 -77916.000 -80283.229  3.04%     -    8s
     0     0 -80229.693    0  472 -77916.000 -80229.693  2.97%     -    8s
     0     0 -80222.122    0  502 -77916.000 -80222.122  2.96%     -    8s
     0     0 -80216.035    0  475 -77916.000 -80216.035  2.95%     -    8s
     0     0 -80214.312    0  453 -77916.000 -80214.312  2.95%     -    8s
     0     0 -80158.512    0  398 -77916.000 -80158.512  2.88%     -    8s
H    0     0                    -77921.00000 -80158.512  2.87%     -    8s
     0     0 -80154.453    0  398 -77921.000 -80154.453  2.87%     -    8s
     0     0 -80152.366    0  437 -77921.000 -80152.366  2.86%     -    8s
     0     0 -80115.297    0  438 -77921.000 -80115.297  2.82%     -    9s
     0     0 -80109.821    0  440 -77921.000 -80109.821  2.81%     -    9s
     0     0 -80108.979    0  462 -77921.000 -80108.979  2.81%     -    9s
     0     0 -80071.635    0  472 -77921.000 -80071.635  2.76%     -    9s
     0     0 -80062.135    0  438 -77921.000 -80062.135  2.75%     -    9s
     0     0 -80057.663    0  440 -77921.000 -80057.663  2.74%     -    9s
     0     0 -80057.131    0  469 -77921.000 -80057.131  2.74%     -    9s
     0     0 -80032.414    0  407 -77921.000 -80032.414  2.71%     -    9s
     0     0 -80029.666    0  413 -77921.000 -80029.666  2.71%     -    9s
     0     0 -80019.445    0  381 -77921.000 -80019.445  2.69%     -    9s
     0     0 -80019.445    0  377 -77921.000 -80019.445  2.69%     -   10s
     0     2 -80019.445    0  377 -77921.000 -80019.445  2.69%     -   10s
H   29    34                    -78136.00000 -80010.993  2.40%  80.5   11s
H   32    34                    -78448.00000 -80010.993  1.99%  77.1   11s
H  142   144                    -78540.00000 -80010.993  1.87%  84.7   13s
H  143   149                    -78689.00000 -80010.993  1.68%  84.6   13s
H  172   178                    -78786.00000 -80010.993  1.55%  83.1   13s
H  173   178                    -78804.00000 -80010.993  1.53%  83.5   13s
H  175   178                    -78954.00000 -80010.993  1.34%  83.0   13s
H  233   239                    -79000.00000 -80010.993  1.28%  79.8   14s
H  240   242                    -79040.00000 -80010.993  1.23%  79.1   14s
   271   293 -79455.862   45  197 -79040.000 -80010.993  1.23%  80.9   15s
  1055   969 -79743.885   56  377 -79040.000 -80007.795  1.22%  73.1   20s
H 1078   934                    -79063.00000 -80007.795  1.19%  71.5   23s
  1098   948 -79846.296   53  407 -79063.000 -79988.771  1.17%  70.2   25s
H 1147   929                    -79084.00000 -79891.559  1.02%  67.2   29s
  1157   936 -79644.467   11  433 -79084.000 -79887.464  1.02%  66.6   30s
  1200   966 -79884.667   14  388 -79084.000 -79884.667  1.01%  97.8   35s
  1224   985 -79881.603   28  377 -79084.000 -79881.603  1.01%   122   41s
H 1254   943                    -79166.00000 -79877.979  0.90%   121   44s
  1268   949 -79871.814   35  345 -79166.000 -79876.132  0.90%   121   45s
H 1284   909                    -79180.00000 -79876.132  0.88%   121   45s
H 1359   921                    -79313.00000 -79876.132  0.71%   122   46s
