
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 10:14:21 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed4_DWcutsCT3_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 6403 rows, 9750 columns and 86285 nonzeros
Model fingerprint: 0xfda30cae
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 323 rows and 796 columns
Presolve time: 0.26s
Presolved: 6080 rows, 8954 columns, 79081 nonzeros
Found heuristic solution: objective -7381.000000
Variable types: 0 continuous, 8954 integer (8954 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   26497   -1.2327393e+05   8.286203e+03   0.000000e+00      5s
   28966   -1.2327232e+05   0.000000e+00   0.000000e+00      6s

Root relaxation: objective -1.232723e+05, 28966 iterations, 5.70 seconds (6.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  5776  2908 -122840.22   55  495 -122811.00 -123271.57  0.38%   172  282s
  5845  3084 -122987.41   33  562 -122811.00 -123271.40  0.37%   172  294s
  6170  3295 -123234.04   41  422 -122811.00 -123271.40  0.37%   170  305s
H 6265  3271                    -122823.0000 -123271.40  0.37%   169  305s
  6500  3551 -123088.14  137  349 -122823.00 -123271.38  0.37%   168  312s
  6958  3720 -123263.49   27  673 -122823.00 -123271.06  0.36%   166  320s
  7293  3853 -123195.70   67  528 -122823.00 -123271.06  0.36%   166  328s
  7585  4350     cutoff  101      -122823.00 -123271.06  0.36%   165  335s
  8328  4419 -122919.58  161  317 -122823.00 -123271.06  0.36%   163  346s
  8448  4809 -122895.25  203  230 -122823.00 -123270.95  0.36%   163  355s
  8987  5399 -123258.21   37  579 -122823.00 -123270.32  0.36%   161  363s
  9672  5847 -122941.47  148  401 -122823.00 -123270.04  0.36%   159  373s
 10271  5848 -123132.30   90  505 -122823.00 -123270.02  0.36%   158  380s
 10273  5849 -123019.45   44  549 -122823.00 -123270.02  0.36%   158  385s
 10290  5861 -123217.50   78  506 -122823.00 -123270.02  0.36%   157  393s
 10292  5862 -123252.21   53  505 -122823.00 -123270.01  0.36%   157  411s
 10293  5866 -123270.01   25  501 -122823.00 -123270.01  0.36%   161  428s
 10295  5868 -123270.01   26  476 -122823.00 -123270.01  0.36%   161  444s
 10299  5871 -123270.01   27  542 -122823.00 -123270.01  0.36%   161  447s
 10303  5873 -123263.73   27  495 -122823.00 -123270.01  0.36%   161  452s
 10311  5875 -123256.58   28  498 -122823.00 -123270.01  0.36%   161  455s
 10325  5882 -123268.79   30  650 -122823.00 -123270.01  0.36%   162  460s
 10341  5885 -123266.02   31  545 -122823.00 -123268.17  0.36%   162  466s
 10352  5885 -123150.56   32  607 -122823.00 -123268.13  0.36%   163  470s
 10370  5893 -123267.84   34  642 -122823.00 -123267.84  0.36%   163  475s
 10400  5887 -123263.93   38  639 -122823.00 -123267.59  0.36%   163  480s
 10418  5908 -123259.39   41  529 -122823.00 -123267.59  0.36%   164  486s
