
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 05:34:16 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N300_seed7_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2546 rows, 9750 columns and 38311 nonzeros
Model fingerprint: 0x0d0eb01d
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 69 rows and 759 columns
Presolve time: 0.09s
Presolved: 2477 rows, 8991 columns, 35244 nonzeros
Variable types: 0 continuous, 8991 integer (8991 binary)
Found heuristic solution: objective -7567.000000

Root relaxation: objective -9.255824e+04, 13363 iterations, 0.82 seconds (0.76 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2704  1613 -92396.165   61  308 -92275.000 -92558.236  0.31%   590  216s
  2994  1807 -92391.772  128  265 -92275.000 -92558.236  0.31%   563  220s
  3392  1672     cutoff   58      -92275.000 -92558.236  0.31%   521  227s
  3399  1785 -92558.236   36  307 -92275.000 -92558.236  0.31%   521  232s
  3600  1876 -92558.236   55  336 -92275.000 -92558.236  0.31%   507  239s
  3890  1914 -92538.006  101  298 -92275.000 -92558.236  0.31%   494  247s
  4118  2322 -92495.370  130  239 -92275.000 -92558.236  0.31%   487  254s
  4832  2448 -92473.005   70  245 -92275.000 -92558.236  0.31%   449  270s
  5023  3038 -92371.722   64  345 -92275.000 -92558.236  0.31%   439  277s
  5699  3693 -92344.936  220  278 -92275.000 -92558.236  0.31%   414  283s
  6500  4179 -92558.236   64  357 -92275.000 -92558.236  0.31%   386  291s
  7121  5044 -92395.775  167  258 -92275.000 -92558.236  0.31%   370  297s
  8106  5365 -92491.134   95  245 -92275.000 -92558.236  0.31%   344  304s
  8503  6082 -92546.929   69  280 -92275.000 -92558.236  0.31%   338  311s
  9347  7154 -92537.811  108  250 -92275.000 -92558.236  0.31%   324  317s
 10615  7156 -92279.484  130  306 -92275.000 -92558.236  0.31%   302  323s
 10617  7158 -92295.433  243  306 -92275.000 -92558.236  0.31%   302  335s
 10618  7161 -92558.236   24  328 -92275.000 -92558.236  0.31%   305  342s
 10620  7165 -92558.236   25  348 -92275.000 -92558.236  0.31%   305  347s
 10624  7167 -92558.236   26  383 -92275.000 -92558.236  0.31%   305  352s
 10628  7170 -92536.396   26  353 -92275.000 -92558.236  0.31%   305  357s
 10632  7173 -92558.236   27  385 -92275.000 -92558.236  0.31%   305  360s
 10640  7179 -92558.236   28  323 -92275.000 -92558.236  0.31%   306  365s
 10655  7188 -92543.265   29  419 -92275.000 -92558.236  0.31%   306  372s
 10668  7201 -92558.236   31  335 -92275.000 -92558.236  0.31%   306  376s
 10689  7212 -92558.236   33  330 -92275.000 -92558.236  0.31%   306  381s
