
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 18:47:58 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_objLB_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 321 rows, 2200 columns and 6400 nonzeros
Model fingerprint: 0x474cb60e
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 4e+04]
Found heuristic solution: objective 0.0000000
Presolve removed 20 rows and 20 columns
Presolve time: 0.02s
Presolved: 301 rows, 2180 columns, 6360 nonzeros
Variable types: 0 continuous, 2180 integer (2180 binary)
Found heuristic solution: objective -18216.00000

Root relaxation: objective -4.013000e+04, 693 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.000    0   53 -18216.000 -40130.000   120%     -    0s
H    0     0                    -35751.00000 -40130.000  12.2%     -    0s
H    0     0                    -36702.00000 -40130.000  9.34%     -    0s
H    0     0                    -37071.00000 -40130.000  8.25%     -    0s
 572440 338386 -39938.797   59   52 -39491.000 -40130.000  1.62%  30.2  245s
 583277 345132 -39855.630   67   52 -39491.000 -40130.000  1.62%  30.2  250s
 592251 350210     cutoff   49      -39491.000 -40130.000  1.62%  30.2  255s
 606818 358779 -39883.433   64   55 -39491.000 -40130.000  1.62%  30.2  260s
 620983 367498 -40130.000   60   81 -39491.000 -40130.000  1.62%  30.1  265s
 633389 374963 -39946.207   73   53 -39491.000 -40130.000  1.62%  30.1  270s
 644192 381247 -40013.347   61   61 -39491.000 -40130.000  1.62%  30.1  275s
 657857 388788     cutoff   67      -39491.000 -40130.000  1.62%  30.1  280s
 671251 396708 -40022.189   55   53 -39491.000 -40130.000  1.62%  30.1  285s
 684576 404695 -40093.482   65   46 -39491.000 -40130.000  1.62%  30.0  290s
 693258 409336 -40119.742   40   77 -39491.000 -40130.000  1.62%  30.0  295s
 710119 419657 -40130.000   67   58 -39491.000 -40130.000  1.62%  30.0  300s
 721319 425876 -39899.478   60   53 -39491.000 -40130.000  1.62%  30.0  305s
 734097 433897 -39803.862   77   48 -39491.000 -40130.000  1.62%  30.0  310s
 745886 441097 -39845.808   51   56 -39491.000 -40130.000  1.62%  30.1  315s
 758984 448860 -39653.413   38   59 -39491.000 -40130.000  1.62%  30.1  320s
 769794 454979 -39848.792   76   65 -39491.000 -40130.000  1.62%  30.0  325s
 784175 463970 -40078.768   67   57 -39491.000 -40130.000  1.62%  30.0  330s
 795794 470577 -39955.576   81   58 -39491.000 -40130.000  1.62%  30.0  335s
 806862 477207     cutoff   63      -39491.000 -40130.000  1.62%  30.0  340s
 820220 484535 -39981.372   61   57 -39491.000 -40130.000  1.62%  30.0  345s
 830705 490686 -40071.240   47   68 -39491.000 -40130.000  1.62%  30.0  350s
 844145 497876 -39647.918   75   39 -39491.000 -40130.000  1.62%  29.9  355s
 856349 504737 -39666.219   61   40 -39491.000 -40130.000  1.62%  29.9  360s
 871653 513514 -39669.800   67   44 -39491.000 -40130.000  1.62%  29.9  365s
 884260 520722     cutoff   94      -39491.000 -40130.000  1.62%  29.9  370s
 898174 529037 -39864.584   65   58 -39491.000 -40130.000  1.62%  29.8  375s
 911953 536935 -39551.690   54   40 -39491.000 -40130.000  1.62%  29.8  380s
 921657 544419     cutoff   68      -39491.000 -40130.000  1.62%  29.8  385s
 937261 551364 -39563.115   67   49 -39491.000 -40130.000  1.62%  29.8  390s
 947707 557551 -40059.397   51   62 -39491.000 -40130.000  1.62%  29.8  395s
 962309 565705 -39899.832   53   52 -39491.000 -40130.000  1.62%  29.8  400s
 972127 571771 -40130.000   65   59 -39491.000 -40130.000  1.62%  29.8  405s
 981545 578209 -39834.812   58   75 -39491.000 -40130.000  1.62%  29.9  410s
 990288 584303 -39714.654   59   58 -39491.000 -40130.000  1.62%  29.9  415s
 999583 590710 -39779.142   76   66 -39491.000 -40130.000  1.62%  30.0  420s
 1008004 596194     cutoff   75      -39491.000 -40130.000  1.62%  30.0  425s
 1024044 606468 -40099.392   63   52 -39491.000 -40130.000  1.62%  30.0  430s
 1036075 614036 -40118.738   46   72 -39491.000 -40130.000  1.62%  30.0  435s
 1044946 619448 -40130.000   42   64 -39491.000 -40130.000  1.62%  30.0  440s
 1058469 630692 -40130.000   68   63 -39491.000 -40130.000  1.62%  30.0  445s
 1072218 637840 -40130.000   52   66 -39491.000 -40130.000  1.62%  30.0  450s
 1084216 645513 -39806.106   52   55 -39491.000 -40130.000  1.62%  30.0  455s
 1095931 653786 -39805.758   63   42 -39491.000 -40130.000  1.62%  30.0  460s
 1105384 660492 -39824.129   54   76 -39491.000 -40130.000  1.62%  30.0  465s
 1116542 667673 -39930.121   60   62 -39491.000 -40130.000  1.62%  30.0  470s
 1128826 676551 -39693.172   86   58 -39491.000 -40130.000  1.62%  30.0  475s
 1138066 682598 -39568.767   95   55 -39491.000 -40130.000  1.62%  30.0  480s
 1149756 689749 -39894.502   49   77 -39491.000 -40130.000  1.62%  30.0  485s
 1164096 697931 -39531.287   81   56 -39491.000 -40130.000  1.62%  30.0  490s
 1174749 704252 -39819.079   50   67 -39491.000 -40130.000  1.62%  30.1  495s
 1184295 710564 -40054.778   46   60 -39491.000 -40130.000  1.62%  30.1  500s
 1195108 719234 -39999.229   60   67 -39491.000 -40130.000  1.62%  30.1  505s
 1208189 725700 -40055.959   54   60 -39491.000 -40130.000  1.62%  30.1  510s
 1219251 732020 -39749.715   57   42 -39491.000 -40130.000  1.62%  30.1  515s
 1227182 737143 -39711.607  104   60 -39491.000 -40130.000  1.62%  30.1  520s
 1236540 742827 -39691.800   79   53 -39491.000 -40130.000  1.62%  30.1  525s
 1246991 748800 -39635.762   58   58 -39491.000 -40130.000  1.62%  30.1  530s
 1258223 756347 -40130.000   63   65 -39491.000 -40130.000  1.62%  30.2  535s
 1268567 762890 -40130.000   53   62 -39491.000 -40130.000  1.62%  30.2  540s
 1279585 770603     cutoff   87      -39491.000 -40130.000  1.62%  30.2  545s
 1292431 778859 -39653.170   71   61 -39491.000 -40130.000  1.62%  30.2  550s
 1304202 786430 -39746.045   99   60 -39491.000 -40130.000  1.62%  30.2  555s
 1314957 793146 -39814.674   56   62 -39491.000 -40130.000  1.62%  30.2  560s
 1326437 799918 -39986.323   54   68 -39491.000 -40130.000  1.62%  30.2  565s
 1337447 806132 -40130.000   69   66 -39491.000 -40130.000  1.62%  30.2  570s
 1348400 812641 -39734.263   73   52 -39491.000 -40130.000  1.62%  30.3  575s
 1357774 817940 -40130.000   43   68 -39491.000 -40130.000  1.62%  30.3  580s
 1370419 825209 -39893.350   65   56 -39491.000 -40130.000  1.62%  30.3  585s
 1382382 832948 -40130.000   44   55 -39491.000 -40130.000  1.62%  30.3  590s
 1393916 839906 -40046.298   67   59 -39491.000 -40130.000  1.62%  30.3  595s
 1405436 846681     cutoff   71      -39491.000 -40130.000  1.62%  30.3  600s
 1413813 851902 -39899.454   68   45 -39491.000 -40130.000  1.62%  30.3  605s
 1428488 860890 -40123.068   54   56 -39491.000 -40130.000  1.62%  30.3  610s
 1438756 866941 -40130.000   47   72 -39491.000 -40130.000  1.62%  30.3  615s
 1452104 874774     cutoff   60      -39491.000 -40130.000  1.62%  30.4  620s
 1461281 879916 -39959.947   68   55 -39491.000 -40130.000  1.62%  30.4  625s
 1473991 887090 -39633.140   73   40 -39491.000 -40130.000  1.62%  30.3  630s
 1486652 894762 -40130.000   54   67 -39491.000 -40130.000  1.62%  30.3  635s
 1496790 901644     cutoff   75      -39491.000 -40130.000  1.62%  30.3  640s
 1504059 906255 -40082.210   60   65 -39491.000 -40130.000  1.62%  30.3  645s
 1523339 917609 -40040.652   57   64 -39491.000 -40130.000  1.62%  30.3  650s
 1533202 924119     cutoff   84      -39491.000 -40130.000  1.62%  30.3  655s
 1546043 931664 -39868.730   76   55 -39491.000 -40130.000  1.62%  30.3  660s
 1558296 938954 -39553.174   68   59 -39491.000 -40130.000  1.62%  30.3  665s
 1570530 946010 -39798.940   81   70 -39491.000 -40130.000  1.62%  30.2  670s
 1583177 953200     cutoff   62      -39491.000 -40130.000  1.62%  30.2  675s
 1594490 960833 -39710.050   70   51 -39491.000 -40130.000  1.62%  30.2  680s
 1606899 968151 -39947.868   63   40 -39491.000 -40130.000  1.62%  30.2  685s
 1622686 977416 -39986.132   64   55 -39491.000 -40130.000  1.62%  30.2  690s
 1635013 984761 -40025.312   52   72 -39491.000 -40130.000  1.62%  30.2  695s
 1648938 993019 -39598.269   87   35 -39491.000 -40130.000  1.62%  30.1  700s
 1660764 1000252 -40069.518   65   66 -39491.000 -40130.000  1.62%  30.1  705s
 1674064 1007859 -40130.000   63   65 -39491.000 -40130.000  1.62%  30.1  710s
 1688441 1016582     cutoff   72      -39491.000 -40130.000  1.62%  30.1  715s
 1702177 1025089 -40027.283   49   72 -39491.000 -40130.000  1.62%  30.0  720s
 1712439 1031560 -40130.000   67   51 -39491.000 -40130.000  1.62%  30.0  725s
 1720246 1035885 -40022.025   66   62 -39491.000 -40130.000  1.62%  30.0  730s
 1733630 1043436     cutoff   79      -39491.000 -40130.000  1.62%  30.0  735s
 1745123 1050033 -40072.674   72   57 -39491.000 -40130.000  1.62%  30.0  740s
 1757342 1057102 -40130.000   45   69 -39491.000 -40130.000  1.62%  30.0  745s
 1764160 1061089 -40001.229   53   65 -39491.000 -40130.000  1.62%  30.0  750s
 1774513 1067515 -39527.155   66   60 -39491.000 -40130.000  1.62%  30.0  755s
 1785852 1074115 -40130.000   71   48 -39491.000 -40130.000  1.62%  30.0  760s
 1798627 1081378 -39730.538   65   42 -39491.000 -40130.000  1.62%  30.0  765s
 1804807 1086841 -40086.653   53   56 -39491.000 -40130.000  1.62%  30.0  770s
 1820214 1093845 -40017.052   71   77 -39491.000 -40130.000  1.62%  30.0  775s
 1827184 1097739 -40130.000   36   49 -39491.000 -40130.000  1.62%  30.0  780s
 1838385 1105138 -39962.527   60   64 -39491.000 -40130.000  1.62%  30.0  785s
 1848706 1111509 -40130.000   50   59 -39491.000 -40130.000  1.62%  30.0  790s
 1859188 1118320 -39719.900   71   38 -39491.000 -40130.000  1.62%  30.0  795s
 1869939 1125072     cutoff   90      -39491.000 -40130.000  1.62%  30.0  800s
 1877282 1129839 -39601.320   84   49 -39491.000 -40130.000  1.62%  30.0  805s
 1886809 1135424 -40130.000   55   55 -39491.000 -40130.000  1.62%  30.1  810s
 1900555 1143361 -40006.781   52   54 -39491.000 -40130.000  1.62%  30.1  816s
 1909049 1148916 -40130.000   57   47 -39491.000 -40130.000  1.62%  30.1  820s
 1919552 1155262 -40109.506   39   72 -39491.000 -40130.000  1.62%  30.1  825s
 1930241 1161019 -39621.797   65   65 -39491.000 -40130.000  1.62%  30.1  830s
 1941062 1167798     cutoff   87      -39491.000 -40130.000  1.62%  30.1  835s
H1942728 1035801                    -39599.00000 -40130.000  1.34%  30.1  837s
 1948725 1038953 -39936.861   62   35 -39599.000 -40130.000  1.34%  30.1  840s
 1965730 1048460 -39938.359   67   52 -39599.000 -40130.000  1.34%  30.1  845s
 1976800 1054584 -40130.000   70   52 -39599.000 -40130.000  1.34%  30.1  850s
 1991223 1062763 -40083.453   65   40 -39599.000 -40130.000  1.34%  30.1  855s
 1999481 1067395 -40091.194   58   53 -39599.000 -40130.000  1.34%  30.1  860s
 2011844 1075252 -39755.706   47   68 -39599.000 -40130.000  1.34%  30.1  865s
 2020188 1080341 -39835.291   60   72 -39599.000 -40130.000  1.34%  30.2  870s
 2029474 1085764 -39921.776   62   59 -39599.000 -40130.000  1.34%  30.2  875s
H2038530 940555                    -39671.00000 -40130.000  1.16%  30.2  879s
H2038531 922709                    -39679.00000 -40130.000  1.14%  30.2  879s
 2039127 923004 -39955.806   61   53 -39679.000 -40130.000  1.14%  30.2  880s
 2050688 929285     cutoff   71      -39679.000 -40130.000  1.14%  30.2  885s
 2062184 935168 -39941.945   65   59 -39679.000 -40130.000  1.14%  30.3  890s
 2072960 940866 -39978.890   61   65 -39679.000 -40130.000  1.14%  30.3  895s
 2083501 946213     cutoff   58      -39679.000 -40130.000  1.14%  30.3  900s
 2091589 950630 -39764.289   60   40 -39679.000 -40130.000  1.14%  30.4  905s
 2100867 955808 -40094.549   65   72 -39679.000 -40130.000  1.14%  30.4  910s
 2108523 960056 -39816.842   72   75 -39679.000 -40130.000  1.14%  30.5  915s
 2119359 965631 -39884.527   53   68 -39679.000 -40130.000  1.14%  30.5  920s
 2126624 969570 -40093.862   80   88 -39679.000 -40130.000  1.14%  30.5  925s
 2137544 974952 -39999.450   77   84 -39679.000 -40130.000  1.14%  30.6  930s
 2148266 980398 -39950.936   77   56 -39679.000 -40130.000  1.14%  30.6  935s
