
Gurobi 9.5.0 (linux64) logging started Wed May  4 11:06:42 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N200_seed6_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x63f48967
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 138 rows and 1286 columns
Presolve time: 0.03s
Presolved: 842 rows, 5464 columns, 10928 nonzeros
Variable types: 0 continuous, 5464 integer (5464 binary)
Found heuristic solution: objective -47320.00000

Root relaxation: objective -6.771007e+04, 2862 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    -65376.00000 -67290.549  2.93%     -    3s
     0     0 -67290.549    0  470 -65376.000 -67290.549  2.93%     -    3s
     0     0 -67284.696    0  514 -65376.000 -67284.696  2.92%     -    3s
     0     0 -67282.663    0  520 -65376.000 -67282.663  2.92%     -    3s
     0     0 -67280.834    0  511 -65376.000 -67280.834  2.91%     -    3s
     0     0 -67279.884    0  506 -65376.000 -67279.884  2.91%     -    3s
     0     0 -67279.827    0  507 -65376.000 -67279.827  2.91%     -    3s
     0     0 -67235.393    0  461 -65376.000 -67235.393  2.84%     -    4s
     0     0 -67223.643    0  449 -65376.000 -67223.643  2.83%     -    4s
H    0     0                    -65512.00000 -67215.610  2.60%     -    4s
     0     0 -67215.610    0  465 -65512.000 -67215.610  2.60%     -    4s
     0     0 -67215.297    0  498 -65512.000 -67215.297  2.60%     -    4s
     0     0 -67181.242    0  416 -65512.000 -67181.242  2.55%     -    4s
H    0     0                    -65575.00000 -67181.242  2.45%     -    4s
     0     0 -67176.944    0  462 -65575.000 -67176.944  2.44%     -    4s
     0     0 -67175.037    0  482 -65575.000 -67175.037  2.44%     -    4s
     0     0 -67174.464    0  447 -65575.000 -67174.464  2.44%     -    4s
     0     0 -67156.217    0  534 -65575.000 -67156.217  2.41%     -    4s
     0     0 -67153.852    0  501 -65575.000 -67153.852  2.41%     -    4s
     0     0 -67152.351    0  525 -65575.000 -67152.351  2.41%     -    4s
     0     0 -67152.116    0  541 -65575.000 -67152.116  2.41%     -    4s
     0     0 -67123.778    0  493 -65575.000 -67123.778  2.36%     -    5s
     0     0 -67116.162    0  469 -65575.000 -67116.162  2.35%     -    5s
     0     0 -67114.533    0  518 -65575.000 -67114.533  2.35%     -    5s
     0     0 -67113.816    0  544 -65575.000 -67113.816  2.35%     -    5s
     0     0 -67079.699    0  471 -65575.000 -67079.699  2.29%     -    5s
     0     0 -67074.379    0  455 -65575.000 -67074.379  2.29%     -    5s
     0     0 -67073.607    0  442 -65575.000 -67073.607  2.29%     -    5s
     0     0 -67036.245    0  483 -65575.000 -67036.245  2.23%     -    5s
     0     0 -67023.248    0  496 -65575.000 -67023.248  2.21%     -    5s
     0     0 -67019.149    0  540 -65575.000 -67019.149  2.20%     -    5s
     0     0 -67018.319    0  563 -65575.000 -67018.319  2.20%     -    5s
H    0     0                    -65646.00000 -66979.501  2.03%     -    5s
     0     0 -66979.501    0  486 -65646.000 -66979.501  2.03%     -    5s
     0     0 -66976.824    0  516 -65646.000 -66976.824  2.03%     -    6s
     0     0 -66974.370    0  499 -65646.000 -66974.370  2.02%     -    6s
     0     0 -66973.684    0  508 -65646.000 -66973.684  2.02%     -    6s
     0     0 -66953.066    0  415 -65646.000 -66953.066  1.99%     -    6s
H    0     0                    -65796.00000 -66953.066  1.76%     -    6s
H    0     0                    -65797.00000 -66953.066  1.76%     -    6s
     0     0 -66950.733    0  399 -65797.000 -66950.733  1.75%     -    6s
     0     0 -66948.768    0  452 -65797.000 -66948.768  1.75%     -    6s
     0     0 -66926.659    0  440 -65797.000 -66926.659  1.72%     -    6s
     0     0 -66921.656    0  441 -65797.000 -66921.656  1.71%     -    6s
     0     0 -66919.259    0  467 -65797.000 -66919.259  1.71%     -    6s
     0     0 -66918.912    0  483 -65797.000 -66918.912  1.71%     -    6s
     0     0 -66897.969    0  468 -65797.000 -66897.969  1.67%     -    6s
     0     0 -66895.231    0  470 -65797.000 -66895.231  1.67%     -    6s
     0     0 -66893.877    0  468 -65797.000 -66893.877  1.67%     -    6s
     0     0 -66881.659    0  468 -65797.000 -66881.659  1.65%     -    6s
     0     0 -66881.659    0  467 -65797.000 -66881.659  1.65%     -    6s
     0     2 -66881.659    0  467 -65797.000 -66881.659  1.65%     -    7s
H   30    34                    -65842.00000 -66870.027  1.56%   160    8s
H   31    34                    -66220.00000 -66870.027  0.98%   158    8s
H   59    63                    -66339.00000 -66870.027  0.80%   130    8s
