
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 14:00:11 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed10_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2482 rows, 9750 columns and 37460 nonzeros
Model fingerprint: 0x8b5a1939
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 120 rows and 1104 columns
Presolve time: 0.09s
Presolved: 2362 rows, 8646 columns, 33387 nonzeros
Found heuristic solution: objective -10319.00000
Variable types: 0 continuous, 8646 integer (8646 binary)

Root relaxation: objective -1.250146e+05, 16951 iterations, 1.17 seconds (1.11 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 10525  5869 -125014.56   29  164 -124644.00 -125014.56  0.30%   233  246s
 10533  5873 -124982.31   30  160 -124644.00 -125014.56  0.30%   233  251s
 10545  5878 -125014.56   32  202 -124644.00 -125014.56  0.30%   234  256s
 10559  5881 -125014.56   33  165 -124644.00 -125014.56  0.30%   234  260s
 10584  5900 -124961.34   35  155 -124644.00 -125014.56  0.30%   235  265s
 10638  5917 -125014.56   41  239 -124644.00 -125014.56  0.30%   236  270s
 10716  5956 -124982.68   46  146 -124644.00 -125014.56  0.30%   237  275s
 10802  6054 -125014.56   55  152 -124644.00 -125014.56  0.30%   238  283s
 10874  6066 -125014.56   62  137 -124644.00 -125014.56  0.30%   239  288s
 10919  6141 -124990.49   67  194 -124644.00 -125014.56  0.30%   240  293s
 11028  6197 -125014.53   81  233 -124644.00 -125014.56  0.30%   242  300s
 11152  6321 -125014.36  102  221 -124644.00 -125014.56  0.30%   243  307s
 11422  6368 -125007.64  134  298 -124644.00 -125014.56  0.30%   246  312s
 11635  6739 -125004.86  157  166 -124644.00 -125014.56  0.30%   247  319s
H11779  6397                    -124645.0000 -125014.56  0.30%   247  319s
 12226  6592 -124716.65  140  156 -124645.00 -125014.56  0.30%   245  325s
 12774  6489 -124908.55   77  212 -124645.00 -125014.56  0.30%   244  334s
 12889  7161 -124908.55   92  251 -124645.00 -125014.56  0.30%   245  339s
 13763  7073 -124977.56   74  201 -124645.00 -125014.56  0.30%   239  347s
 14006  7501 -124765.04  123  174 -124645.00 -125014.56  0.30%   239  352s
 14682  7708 -124707.06  120  183 -124645.00 -125014.56  0.30%   238  357s
 15341  7742 -125005.85   51  210 -124645.00 -125014.56  0.30%   237  365s
 15651  7794 -125008.53   68  151 -124645.00 -125014.56  0.30%   238  371s
 15848  8176 -125008.51   87  254 -124645.00 -125014.56  0.30%   239  376s
 16435  8396 -124835.23  135  218 -124645.00 -125014.56  0.30%   240  382s
 17017  8675 -124825.98  182  203 -124645.00 -125014.56  0.30%   238  387s
 17772  8755 -124967.57   49  172 -124645.00 -125014.56  0.30%   239  393s
 18211  9339 -124734.40  110  160 -124645.00 -125014.56  0.30%   240  399s
 19155  9262 -124816.69  178  129 -124645.00 -125014.56  0.30%   237  410s
 19456  9490 -124816.64  179  124 -124645.00 -125014.56  0.30%   237  428s
 19853 10044 -124812.59  180  127 -124645.00 -125014.56  0.30%   235  435s
 20891  9701 -124798.41  193  403 -124645.00 -125014.56  0.30%   233  440s
 20900  9707 -125011.73  137  250 -124645.00 -125014.56  0.30%   233  445s
 20904  9710 -124987.11   56  240 -124645.00 -125014.56  0.30%   233  451s
 20907  9715 -125014.56   42  171 -124645.00 -125014.56  0.30%   235  456s
 20915  9720 -124864.10   43  175 -124645.00 -125014.56  0.30%   235  461s
 20923  9720 -124966.50   44  189 -124645.00 -125014.56  0.30%   236  465s
 20941  9730 -125014.56   47  153 -124645.00 -125014.56  0.30%   236  470s
 20968  9744 -125014.56   50  181 -124645.00 -125014.56  0.30%   236  476s
 21000  9753 -125014.56   55  208 -124645.00 -125014.56  0.30%   237  480s
 21040  9765 -125014.56   58  152 -124645.00 -125014.56  0.30%   237  485s
 21096  9797 -125014.56   65  152 -124645.00 -125014.56  0.30%   238  490s
 21143  9799 -125014.56   69  163 -124645.00 -125014.56  0.30%   239  496s
 21162  9811 -124850.62   70  118 -124645.00 -125014.56  0.30%   239  500s
 21190  9806 -125014.55   75  336 -124645.00 -125014.56  0.30%   239  507s
 21221  9817 -125014.22   78  171 -124645.00 -125014.56  0.30%   240  512s
 21286  9841 -124944.00   88  230 -124645.00 -125014.56  0.30%   240  517s
 21360  9913 -124988.07   94  173 -124645.00 -125014.56  0.30%   240  521s
 21428  9898 -125010.88   99  192 -124645.00 -125014.56  0.30%   241  534s
 21437  9930 -125010.88   99  177 -124645.00 -125014.56  0.30%   241  536s
 21565 10030 -124982.50  117  242 -124645.00 -125014.56  0.30%   243  541s
 21819 10069 -125008.36  149  165 -124645.00 -125014.56  0.30%   243  552s
 21867 10138 -125008.36  158  170 -124645.00 -125014.56  0.30%   243  555s
 22180 10263 -125001.35  184  194 -124645.00 -125014.56  0.30%   244  560s
 22350 10540 -124998.81  214  232 -124645.00 -125014.56  0.30%   244  565s
 23380 10645     cutoff  395      -124645.00 -125014.56  0.30%   242  572s
 23672 10724 -125014.55   99  264 -124645.00 -125014.56  0.30%   242  578s
 23884 11126     cutoff   99      -124645.00 -125014.56  0.30%   242  583s
 24427 11170 -124826.67  261  139 -124645.00 -125014.56  0.30%   240  594s
 24708 11240 -124856.98  261  185 -124645.00 -125014.56  0.30%   240  600s

Cutting planes:
  Gomory: 21
  Cover: 382
  Clique: 466
  MIR: 39
  StrongCG: 42
  Flow cover: 65
  Zero half: 7

Explored 24945 nodes (6013365 simplex iterations) in 600.00 seconds (953.85 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -124645 -124644 -124597 ... -124358

Time limit reached
Best objective -1.246450000000e+05, best bound -1.250140000000e+05, gap 0.2960%
