
Gurobi 9.5.0 (linux64) logging started Fri Apr 29 08:40:32 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M10_N300_seed2_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 560 rows, 3250 columns and 6500 nonzeros
Model fingerprint: 0x675e5107
Variable types: 0 continuous, 3250 integer (3250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+04]
  Objective range  [3e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 10 rows and 10 columns
Presolve time: 0.01s
Presolved: 550 rows, 3240 columns, 6480 nonzeros
Variable types: 0 continuous, 3240 integer (3240 binary)
Found heuristic solution: objective -55607.00000

Root relaxation: objective -7.328038e+04, 1874 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -67890.248    0  315 -66882.000 -67890.248  1.51%     -    1s
     0     0 -67867.118    0  329 -66882.000 -67867.118  1.47%     -    1s
     0     0 -67865.995    0  304 -66882.000 -67865.995  1.47%     -    1s
     0     0 -67685.211    0  315 -66882.000 -67685.211  1.20%     -    1s
     0     0 -67570.905    0  278 -66882.000 -67570.905  1.03%     -    1s
     0     0 -67540.304    0  329 -66882.000 -67540.304  0.98%     -    1s
     0     0 -67528.264    0  337 -66882.000 -67528.264  0.97%     -    1s
     0     0 -67357.398    0  324 -66882.000 -67357.398  0.71%     -    1s
     0     0 -67338.491    0  255 -66882.000 -67338.491  0.68%     -    1s
     0     0 -67338.491    0  257 -66882.000 -67338.491  0.68%     -    1s
     0     0 -67304.201    0  260 -66882.000 -67304.201  0.63%     -    1s
     0     0 -67274.591    0  271 -66882.000 -67274.591  0.59%     -    1s
     0     0 -67268.142    0  260 -66882.000 -67268.142  0.58%     -    1s
     0     0 -67221.149    0  265 -66882.000 -67221.149  0.51%     -    1s
     0     0 -67218.024    0  171 -66882.000 -67218.024  0.50%     -    1s
     0     0 -67218.024    0  171 -66882.000 -67218.024  0.50%     -    1s
     0     0 -67194.137    0   32 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0   61 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0   85 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  117 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  143 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  131 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  106 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  107 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  106 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67194.137    0  116 -66882.000 -67194.137  0.47%     -    2s
     0     0 -67173.867    0  142 -66882.000 -67173.867  0.44%     -    2s
     0     0 -67153.587    0  147 -66882.000 -67153.587  0.41%     -    2s
     0     0 -67151.651    0  147 -66882.000 -67151.651  0.40%     -    2s
H    0     0                    -66919.00000 -67151.651  0.35%     -    2s
     0     0 -67151.481    0  150 -66919.000 -67151.481  0.35%     -    2s
     0     0 -67151.386    0  148 -66919.000 -67151.386  0.35%     -    2s
     0     0 -67116.579    0  120 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   29 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   67 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0  123 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0  125 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0  103 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   98 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   92 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0  115 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   88 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   90 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   73 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   69 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   74 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0   73 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0  117 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.579    0  106 -66919.000 -67116.579  0.30%     -    2s
     0     0 -67116.454    0   93 -66919.000 -67116.454  0.30%     -    2s
     0     0 -67094.893    0   62 -66919.000 -67094.893  0.26%     -    2s
     0     0 -67094.038    0   73 -66919.000 -67094.038  0.26%     -    2s
     0     0 -67076.847    0   76 -66919.000 -67076.847  0.24%     -    2s
     0     0 -67076.847    0   76 -66919.000 -67076.847  0.24%     -    2s
     0     0 -67074.303    0   29 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   70 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0  104 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   99 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0  101 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   99 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0  100 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0  101 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   72 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   61 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   71 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   76 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   75 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   99 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67074.303    0   76 -66919.000 -67074.303  0.23%     -    2s
     0     0 -67064.743    0   79 -66919.000 -67064.743  0.22%     -    2s
     0     0 -67058.431    0   79 -66919.000 -67058.431  0.21%     -    2s
     0     0 -67054.772    0   56 -66919.000 -67054.772  0.20%     -    2s
     0     0 -67046.311    0    4 -66919.000 -67046.311  0.19%     -    2s
     0     0 -67045.213    0    4 -66919.000 -67045.213  0.19%     -    2s
     0     0 -67044.366    0    4 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0    4 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   23 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   63 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0  102 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0  129 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   89 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   85 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   69 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   88 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   68 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0    3 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   71 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   59 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0   45 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67044.366    0    4 -66919.000 -67044.366  0.19%     -    2s
     0     0 -67038.931    0   79 -66919.000 -67038.931  0.18%     -    2s
     0     0 -67032.028    0   76 -66919.000 -67032.028  0.17%     -    2s
     0     0 -67031.131    0   65 -66919.000 -67031.131  0.17%     -    2s
     0     0 -67017.807    0   91 -66919.000 -67017.807  0.15%     -    2s
     0     0 -67017.807    0   89 -66919.000 -67017.807  0.15%     -    2s
     0     0 -67014.587    0   22 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   52 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   94 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   88 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   93 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   80 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   39 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   54 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   71 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   86 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   48 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   49 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   95 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0   88 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.587    0    3 -66919.000 -67014.587  0.14%     -    2s
     0     0 -67014.033    0   59 -66919.000 -67014.033  0.14%     -    2s
     0     0 -67014.033    0   59 -66919.000 -67014.033  0.14%     -    2s
     0     0 -67008.949    0   21 -66919.000 -67008.949  0.13%     -    2s
     0     0 -67008.949    0   55 -66919.000 -67008.949  0.13%     -    2s
     0     0 -67008.949    0  104 -66919.000 -67008.949  0.13%     -    2s
     0     0 -67008.949    0  106 -66919.000 -67008.949  0.13%     -    2s
     0     0 -67008.949    0   84 -66919.000 -67008.949  0.13%     -    2s
     0     0 -67008.949    0   57 -66919.000 -67008.949  0.13%     -    2s
