
Gurobi 9.5.0 (linux64) logging started Fri Apr 15 16:22:57 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R20_M20_N100_seed1_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 520 rows, 2400 columns and 4800 nonzeros
Model fingerprint: 0x3d0a492e
Variable types: 0 continuous, 2400 integer (2400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 94 rows and 472 columns
Presolve time: 0.01s
Presolved: 426 rows, 1928 columns, 3856 nonzeros
Found heuristic solution: objective -22900.00000
Variable types: 0 continuous, 1928 integer (1928 binary)
Found heuristic solution: objective -22923.00000

Root relaxation: objective -4.486996e+04, 1382 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -42027.917    0  103 -41659.000 -42027.917  0.89%     -    1s
     0     0 -42024.046    0   66 -41659.000 -42024.046  0.88%     -    1s
     0     0 -42010.900    0   37 -41659.000 -42010.900  0.84%     -    1s
     0     0 -42001.221    0  101 -41659.000 -42001.221  0.82%     -    1s
     0     0 -42001.221    0   93 -41659.000 -42001.221  0.82%     -    1s
     0     0 -42000.310    0   74 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  139 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  165 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  160 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  165 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  189 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  166 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  188 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  169 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  146 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  157 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  171 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  155 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  172 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  138 -41659.000 -42000.310  0.82%     -    1s
     0     0 -42000.310    0  177 -41659.000 -42000.310  0.82%     -    1s
     0     0 -41987.960    0  150 -41659.000 -41987.960  0.79%     -    1s
     0     0 -41987.049    0  134 -41659.000 -41987.049  0.79%     -    1s
     0     0 -41987.049    0  131 -41659.000 -41987.049  0.79%     -    1s
     0     0 -41944.377    0  175 -41659.000 -41944.377  0.69%     -    1s
     0     0 -41937.238    0  198 -41659.000 -41937.238  0.67%     -    1s
     0     0 -41935.394    0  184 -41659.000 -41935.394  0.66%     -    1s
     0     0 -41882.199    0  124 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0   56 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  102 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  119 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  140 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  150 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  157 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  135 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  159 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  107 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.199    0  105 -41659.000 -41882.199  0.54%     -    1s
     0     0 -41882.020    0   66 -41659.000 -41882.020  0.54%     -    1s
     0     0 -41879.952    0   72 -41659.000 -41879.952  0.53%     -    1s
     0     0 -41855.501    0   73 -41659.000 -41855.501  0.47%     -    1s
     0     0 -41852.509    0   98 -41659.000 -41852.509  0.46%     -    1s
     0     0 -41851.677    0   84 -41659.000 -41851.677  0.46%     -    1s
     0     0 -41838.934    0  105 -41659.000 -41838.934  0.43%     -    1s
     0     0 -41838.934    0  105 -41659.000 -41838.934  0.43%     -    1s
     0     0 -41835.206    0   70 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   89 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   73 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0  125 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0  123 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   98 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   87 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0  116 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   93 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   50 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   87 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   75 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41835.206    0   76 -41659.000 -41835.206  0.42%     -    1s
     0     0 -41829.189    0   93 -41659.000 -41829.189  0.41%     -    1s
     0     0 -41829.172    0   90 -41659.000 -41829.172  0.41%     -    1s
     0     0 -41817.388    0   82 -41659.000 -41817.388  0.38%     -    1s
     0     0 -41817.066    0   88 -41659.000 -41817.066  0.38%     -    1s
     0     0 -41793.462    0   72 -41659.000 -41793.462  0.32%     -    1s
     0     0 -41793.329    0   72 -41659.000 -41793.329  0.32%     -    1s
     0     0 -41787.523    0   91 -41659.000 -41787.523  0.31%     -    1s
     0     0 -41786.259    0   70 -41659.000 -41786.259  0.31%     -    1s
     0     0 -41786.259    0   70 -41659.000 -41786.259  0.31%     -    1s
     0     0 -41780.568    0   51 -41659.000 -41780.568  0.29%     -    1s
     0     0 -41780.568    0   73 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   80 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   69 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0  104 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   97 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   88 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   82 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   64 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   91 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   79 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   74 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41780.568    0   62 -41659.000 -41780.568  0.29%     -    2s
     0     0 -41762.609    0   64 -41659.000 -41762.609  0.25%     -    2s
     0     0 -41760.972    0   82 -41659.000 -41760.972  0.24%     -    2s
     0     0 -41758.637    0   77 -41659.000 -41758.637  0.24%     -    2s
     0     0 -41758.637    0   55 -41659.000 -41758.637  0.24%     -    2s
     0     0 -41758.464    0   53 -41659.000 -41758.464  0.24%     -    2s
     0     0 -41758.464    0   53 -41659.000 -41758.464  0.24%     -    2s
H    0     0                    -41679.00000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   43 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   74 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   79 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   96 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   78 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   51 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   66 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   67 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   66 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   68 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   67 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   63 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   52 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   53 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   52 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   55 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   54 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   56 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   48 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41727.692    0   48 -41679.000 -41727.692  0.12%     -    2s
     0     0 -41699.993    0   34 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   49 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   57 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   53 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   64 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   47 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   42 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   45 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   50 -41679.000 -41699.993  0.05%     -    2s
     0     0 -41699.993    0   54 -41679.000 -41699.993  0.05%     -    2s
     0     0     cutoff    0      -41679.000 -41679.000  0.00%     -    2s

Cutting planes:
  Gomory: 10
  Cover: 23
  Clique: 4
  MIR: 20
  StrongCG: 3
  GUB cover: 1
  RLT: 2

Explored 1 nodes (22983 simplex iterations) in 2.28 seconds (1.45 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -41679 -41679 -41659 ... -39018
No other solutions better than -41679

Optimal solution found (tolerance 1.00e-04)
Best objective -4.167900000000e+04, best bound -4.167900000000e+04, gap 0.0000%
