
Gurobi 9.5.0 (linux64) logging started Fri Apr 29 23:49:13 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed1_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2509 rows, 9750 columns and 37695 nonzeros
Model fingerprint: 0xbb9c7ec5
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 82 rows and 1046 columns
Presolve time: 0.10s
Presolved: 2427 rows, 8704 columns, 33536 nonzeros
Found heuristic solution: objective -9698.000000
Variable types: 0 continuous, 8704 integer (8704 binary)

Root relaxation: objective -1.204679e+05, 18762 iterations, 1.40 seconds (1.32 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H 2907  1611                    -119924.0000 -120467.89  0.45%   386  161s
  3105  2046 -120184.22  153  293 -119924.00 -120467.89  0.45%   384  168s
  3796  2037 -120163.63   61  220 -119924.00 -120467.89  0.45%   349  178s
H 3942  1879                    -119987.0000 -120467.89  0.40%   343  178s
  4033  2199 -120036.34  180  280 -119987.00 -120467.89  0.40%   344  184s
  4611  2463 -120076.80   95  146 -119987.00 -120467.89  0.40%   343  191s
  4992  2781     cutoff   97      -119987.00 -120467.89  0.40%   336  197s
  5429  3129 -120305.43   62  319 -119987.00 -120467.89  0.40%   336  204s
  5869  3265 -120057.03  109  173 -119987.00 -120467.89  0.40%   329  217s
  6025  3438 -120052.70  143  246 -119987.00 -120467.89  0.40%   326  225s
  6265  3722 -120052.70  144  240 -119987.00 -120467.89  0.40%   321  232s
  6712  4367 -120206.28   42  296 -119987.00 -120467.89  0.40%   319  239s
  7515  4721 -120303.31   60  203 -119987.00 -120467.89  0.40%   318  246s
  8036  5059 -120256.73   86  246 -119987.00 -120467.89  0.40%   326  253s
  8455  5439 -120292.37  160  201 -119987.00 -120467.89  0.40%   325  264s
  9014  5783 -120206.57  117  248 -119987.00 -120467.89  0.40%   330  272s
  9565  6231 -120041.94   52  205 -119987.00 -120467.89  0.40%   339  287s
 10099  6307 -120124.33  116  171 -119987.00 -120467.89  0.40%   338  297s
 10213  6308 -120125.86  107  524 -119987.00 -120467.89  0.40%   336  300s
 10221  6313 -119994.30   62  453 -119987.00 -120467.89  0.40%   336  305s
 10225  6319 -120467.89   20  377 -119987.00 -120467.89  0.40%   339  314s
 10227  6321 -120467.89   21  359 -119987.00 -120467.89  0.40%   339  318s
 10231  6323 -120467.89   22  342 -119987.00 -120467.89  0.40%   339  323s
 10235  6325 -120434.83   22  304 -119987.00 -120467.89  0.40%   339  327s
 10243  6329 -120335.89   23  383 -119987.00 -120467.89  0.40%   339  331s
 10252  6334 -120467.89   24  358 -119987.00 -120467.89  0.40%   339  335s
 10266  6339 -120467.89   26  348 -119987.00 -120467.89  0.40%   339  340s
 10294  6353 -120467.89   29  345 -119987.00 -120467.89  0.40%   339  346s
 10312  6361 -120467.89   31  336 -119987.00 -120467.89  0.40%   340  350s
 10350  6380 -120467.89   35  370 -119987.00 -120467.89  0.40%   340  355s
 10397  6412 -120467.89   40  393 -119987.00 -120467.89  0.40%   340  361s
 10452  6435 -120342.73   44  382 -119987.00 -120467.89  0.40%   341  365s
 10486  6456 -120419.24   46  370 -119987.00 -120467.89  0.40%   341  370s
 10522  6480 -120467.51   50  340 -119987.00 -120467.89  0.40%   341  375s
 10564  6474 -120467.51   54  322 -119987.00 -120467.89  0.40%   341  381s
 10586  6489 -120326.12   54  328 -119987.00 -120467.89  0.40%   341  386s
 10647  6532 -120467.51   65  177 -119987.00 -120467.89  0.40%   342  392s
 10806  6620 -120467.51   85  177 -119987.00 -120467.89  0.40%   343  398s
 10902  6691 -120467.38   94  185 -119987.00 -120467.89  0.40%   343  401s
 11144  6867 -120195.89  123  164 -119987.00 -120467.89  0.40%   343  406s
 11328  6808 -120464.33  139  158 -119987.00 -120467.89  0.40%   343  423s
 11333  6838 -120414.78  139  144 -119987.00 -120467.89  0.40%   343  429s
 11371  6979 -120464.31  140  172 -119987.00 -120467.89  0.40%   343  432s
 11566  7130 -120458.58  170  158 -119987.00 -120467.89  0.40%   343  435s
 12180  7287 -120110.51  279  170 -119987.00 -120467.89  0.40%   338  441s
 12412  7653 -120467.51   74  290 -119987.00 -120467.89  0.40%   337  445s
 12991  8134 -120467.89   27  321 -119987.00 -120467.89  0.40%   329  451s
 13969  8262 -120091.01   82  238 -119987.00 -120467.89  0.40%   315  455s
 14538  8713 -120290.02  109  120 -119987.00 -120467.89  0.40%   309  460s
 16060  8885 -120092.00   68  210 -119987.00 -120467.89  0.40%   294  472s
 16144  9276 -120085.39   80  208 -119987.00 -120467.89  0.40%   294  476s
 16667  9318 -120416.24   80  255 -119987.00 -120467.89  0.40%   291  493s
 16883  9250 -120317.98  117  212 -119987.00 -120467.89  0.40%   290  501s
 16887  9662 -120311.36  118  238 -119987.00 -120467.89  0.40%   290  508s
