
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 01:01:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed2_DWcutsCTp3_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 6102 rows, 9750 columns and 82720 nonzeros
Model fingerprint: 0x84ef90a4
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 292 rows and 1000 columns
Presolve time: 0.21s
Presolved: 5810 rows, 8750 columns, 74545 nonzeros
Found heuristic solution: objective -9532.000000
Variable types: 0 continuous, 8750 integer (8750 binary)
Warning: Markowitz tolerance tightened to 0.03125
Warning: Markowitz tolerance tightened to 0.0625

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   28556   -1.1714272e+05   8.007640e+02   0.000000e+00      5s
   36394   -1.1699900e+05   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -1.169990e+05, 36394 iterations, 6.91 seconds (8.69 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3214  1986 -116936.16  140  295 -116794.00 -116998.55  0.18%   317  266s
  3514  2139 -116994.37   47  607 -116794.00 -116998.51  0.18%   302  271s
  3907  2099     cutoff  109      -116794.00 -116998.32  0.17%   292  278s
  4073  2554 -116886.85   60  417 -116794.00 -116997.84  0.17%   289  284s
  4727  2580 -116946.61   57  623 -116794.00 -116997.84  0.17%   270  295s
  5030  2591 -116856.41  136  256 -116794.00 -116997.84  0.17%   262  303s
  5272  2979     cutoff   65      -116794.00 -116997.82  0.17%   262  311s
  5942  3170 -116927.39   99  382 -116794.00 -116997.81  0.17%   253  318s
  6634  3519 -116901.11   69  357 -116794.00 -116997.69  0.17%   242  325s
  7198  3699 -116857.57   59  560 -116794.00 -116997.57  0.17%   237  332s
  7430  4163 -116934.04   61  557 -116794.00 -116997.47  0.17%   237  340s
  8062  4553 -116861.99   68  552 -116794.00 -116997.39  0.17%   232  347s
  8578  4851 -116902.61   82  567 -116794.00 -116997.34  0.17%   229  356s
  8963  5559 -116996.09   50  558 -116794.00 -116997.28  0.17%   225  364s
  9835  5741 -116875.40  174  206 -116794.00 -116997.24  0.17%   218  374s
 10116  6243 -116859.38  180  209 -116794.00 -116997.19  0.17%   217  382s
 10881  6244 -116838.11  120  705 -116794.00 -116997.07  0.17%   215  388s
 10883  6245 -116824.88  127  512 -116794.00 -116997.07  0.17%   214  392s
 10888  6249 -116862.14   58  615 -116794.00 -116997.07  0.17%   214  395s
 10898  6255 -116868.38  127  627 -116794.00 -116997.07  0.17%   214  400s
 10900  6257 -116975.83   69  627 -116794.00 -116997.06  0.17%   214  407s
 10901  6260 -116997.06   38  627 -116794.00 -116997.06  0.17%   218  424s
 10903  6261 -116997.06   39  690 -116794.00 -116997.06  0.17%   218  442s
 10907  6261 -116997.06   40  707 -116794.00 -116997.06  0.17%   218  451s
 10915  6264 -116916.24   41  622 -116794.00 -116997.06  0.17%   218  455s
 10923  6268 -116997.06   42  643 -116794.00 -116997.06  0.17%   219  460s
 10953  6264 -116990.47   46  602 -116794.00 -116997.06  0.17%   219  465s
