(1, 0.17233562469482422, -1529499.0, -44269.0)
(2, 0.396669864654541, -869941.0191869208, -44269.0)
(3, 0.579378604888916, -386012.18900647835, -44269.0)
(4, 0.802495002746582, -206050.9292161531, -44269.0)
(5, 1.1122500896453857, -131981.1378140436, -44269.0)
(6, 1.4725160598754883, -120586.73027941861, -44269.0)
(7, 1.8792672157287598, -94178.6592815277, -64194.28205128205)
(8, 2.422520875930786, -74701.53277155494, -64367.79629629628)
(9, 3.0425796508789062, -67638.39045938081, -64413.16176470588)
(10, 3.71993350982666, -65582.11667657987, -64423.549999999974)
(11, 4.467394590377808, -64846.69636072449, -64431.65)
(12, 5.264029502868652, -64564.07677167905, -64433.065217391304)
(13, 6.0787513256073, -64472.368683676505, -64433.0652173913)
(14, 6.963292360305786, -64452.66092427652, -64433.06521739128)
(15, 7.766736745834351, -64441.68236819281, -64436.97727272728)
(16, 8.662243366241455, -64438.38880136483, -64436.97727272724)
(17, 9.467248678207397, -64437.40073131884, -64436.97727272725)
(18, 10.38734745979309, -64437.40073131884, -64436.977272727265)
(19, 11.32350492477417, -64437.25048093235, -64437.18627450979)
(20, 12.168711423873901, -64437.25048093235, -64437.18627450979)
