(1, 0.06368446350097656, -209336.0, -55099.0)
(2, 0.13182473182678223, -140610.61251867, -55099.0)
(3, 0.20412635803222656, -132346.22319025008, -55099.0)
(4, 0.27851319313049316, -130335.29416449738, -55099.0)
(5, 0.35741138458251953, -130335.29416449738, -55099.0)
(6, 0.4460482597351074, -130335.29416449738, -55099.0)
(7, 0.5387213230133057, -130335.29416449738, -55099.0)
(8, 0.6338427066802979, -130335.29416449738, -55099.0)
(9, 0.7341616153717041, -130335.29416449738, -55099.0)
(10, 0.835491418838501, -130335.29416449738, -55099.0)
(11, 0.9384512901306152, -130335.29416449738, -55099.0)
(12, 1.0554945468902588, -130335.29416449738, -55099.0)
(13, 1.168635368347168, -130335.29416449738, -55099.0)
(14, 1.2892882823944092, -130335.29416449738, -55099.0)
(15, 1.4571194648742676, -130335.29416449738, -55099.0)
(16, 1.6293349266052246, -118883.97017508768, -55099.0)
(17, 1.828892707824707, -112712.6883033861, -55099.0)
(18, 1.993586540222168, -97200.95480690782, -55099.0)
(19, 2.148359537124634, -84203.14849494901, -55099.0)
(20, 2.4190926551818848, -71639.33787307935, -55099.0)
(21, 2.716553211212158, -68762.00057916928, -62756.98247069363)
(22, 2.9936227798461914, -67194.63824548601, -62855.05163087207)
(23, 3.2756009101867676, -66307.16383330841, -62894.732729404415)
(24, 3.567929983139038, -65276.88273148592, -62916.91292854608)
(25, 3.987186908721924, -64580.31575146055, -62935.8022100934)
(26, 4.416706323623657, -64158.48334925677, -62959.97906955291)
(27, 4.893930196762085, -63726.9217089934, -62969.38286277095)
(28, 5.401457786560059, -63651.49538609401, -62977.83091864206)
(29, 5.9259679317474365, -63452.13747505594, -62988.25990829498)
(30, 6.4871861934661865, -63399.68672772058, -62992.33325171601)
(31, 7.095841407775879, -63259.20928597822, -63001.10220343139)
(32, 7.721780776977539, -63259.20928597822, -63002.961507214066)
(33, 8.382225751876831, -63181.32366584712, -63007.72781978477)
(34, 9.070392847061157, -63162.222812404754, -63012.225116231144)
(35, 9.82938814163208, -63109.04683657241, -63015.15548443361)
(36, 10.645836353302002, -63090.98675418819, -63019.25419760169)
(37, 11.352183818817139, -63044.123551829216, -63024.03932224227)
(38, 12.04928469657898, -63030.28674707806, -63024.356687898064)
(39, 12.735438585281372, -63026.135705651934, -63024.3566878981)
(40, 13.474311113357544, -63024.89039322636, -63024.35668789805)
(41, 14.108257532119751, -63024.5167994965, -63024.35668789809)
(42, 14.798314809799194, -63024.40472137756, -63024.356687898035)
(43, 15.436026573181152, -63024.37109794171, -63024.35668789808)
