0U	20	50	2	1	608	1039	481	164	58	54	80	108	123	104	
1W	20	50	2	1	570	1039	950	517	512	451	438	421	359	386	
2S	20	50	2	1	513	1039	952	227	478	313	91	82	67	104	
0U	20	50	2	2	570	1039	950	573	505	456	401	403	362	379	
1W	20	50	2	2	627	1039	950	733	733	709	719	679	498	469	
2S	20	50	2	2	570	1039	950	552	404	292	219	56	61	59	
0U	20	50	2	3	608	1039	611	497	496	492	480	482	482	482	
1W	20	50	2	3	627	1039	954	553	530	516	496	500	481	471	
2S	20	50	2	3	589	1039	950	494	403	174	74	83	57	49	
0U	20	50	2	4	551	1039	951	562	487	348	376	300	292	321	
1W	20	50	2	4	665	1039	945	638	587	561	513	480	460	449	
2S	20	50	2	4	532	1039	950	515	435	387	179	227	250	211	
0U	20	50	2	5	589	1039	609	354	122	231	72	101	100	102	
1W	20	50	2	5	589	1039	948	497	469	377	289	286	313	215	
2S	20	50	2	5	589	1039	949	551	471	362	134	35	36	57	
0U	20	50	2	6	570	1039	570	39	17	15	14	18	56	33	
1W	20	50	2	6	589	1039	589	117	62	14	28	25	40	26	
2S	20	50	2	6	589	1039	951	537	453	411	298	321	302	332	
0U	20	50	2	7	608	1039	949	616	537	485	416	330	420	390	
1W	20	50	2	7	551	1039	954	605	563	521	422	446	416	441	
2S	20	50	2	7	608	1039	591	177	12	14	36	67	74	62	
0U	20	50	2	8	589	1039	950	600	557	494	375	328	287	317	
1W	20	50	2	8	627	1039	949	614	173	102	77	103	40	71	
2S	20	50	2	8	532	1039	952	443	406	222	306	75	266	298	
0U	20	50	2	9	589	1039	218	29	20	41	81	82	84	75	
1W	20	50	2	9	570	1039	950	536	543	479	362	344	339	263	
2S	20	50	2	9	589	1039	609	170	589	556	498	387	81	123	
0U	20	50	2	10	570	1039	197	58	25	17	19	49	59	59	
1W	20	50	2	10	608	1039	949	564	506	453	344	297	287	310	
2S	20	50	2	10	570	1039	951	526	193	105	204	331	128	168	
0U	30	50	2	1	928	1559	1342	1236	1226	944	441	757	861	861	
1W	30	50	2	1	870	1559	899	87	86	153	153	153	153	153	
2S	30	50	2	1	812	1559	1445	1040	1016	944	857	850	332	332	
0U	30	50	2	2	870	1559	1458	1346	1346	1304	1304	1304	1304	1304	
1W	30	50	2	2	957	1559	957	262	201	128	122	205	205	205	
